0,挑戦するには,ひとつ前のマップを,クリアする必要があります,
1,挑戦するには,日本編第1章を,クリアする必要があります,
2,挑戦するには,日本編第2章を,クリアする必要があります,
3,挑戦するには,日本編第3章を,クリアする必要があります,
4,挑戦するには,未来編第1章を,クリアする必要があります,
5,挑戦するには,未来編第2章を,クリアする必要があります,
6,挑戦するには,未来編第3章を,クリアする必要があります,
7,挑戦するには,宇宙編第1章を,クリアする必要があります,
8,挑戦するには,宇宙編第2章を,クリアする必要があります,
9,挑戦するには,宇宙編第3章を,クリアする必要があります,
19,挑戦するには,狂乱ステージ(全9種類)を,全てクリアする必要があります,
20,挑戦するには,レジェンドストーリーを,全てクリアする必要があります,
25,挑戦するには,ユーザーランク1600以上を,達成する必要があります,
26,挑戦するには,3月・4月・5月イベントの3マップを,全てクリアする必要があります,
27,挑戦するには,6月・7月・8月イベントの3マップを,全てクリアする必要があります,
28,挑戦するには,9月・10月・11月イベントの3マップを,全てクリアする必要があります,
29,挑戦するには,12月・1月・2月イベントの3マップを,全てクリアする必要があります,
63,挑戦するには,第4、第6、第9、第10の使徒ステージ,全てクリアする必要があります,
64,挑戦するには,断罪天使クオリネル降臨と地獄門を,全てクリアする必要があります,
65,挑戦するには,女帝飛来と亡者デブウ降臨を,全てクリアする必要があります,
66,挑戦するには,チワワン伯爵降臨と夜は短し夢みよ乙女を,全てクリアする必要があります,
68,挑戦するには,時空のゆがみ・ネコたちの解放の2マップを,全てクリアする必要があります,
70,挑戦するには,魔界編の富士山を,クリアする必要があります,
71,挑戦するには,亡者デブウ降臨とブルーインパクトを,全てクリアする必要があります,
72,挑戦するには,女帝飛来と夜は短し夢みよ乙女を,全てクリアする必要があります,
73,挑戦するには,断罪天使クオリネル降臨とチワワン伯爵降臨を,全てクリアする必要があります,
100000,挑戦するには,伝説のはじまりを,全てクリアする必要があります,
100001,挑戦するには,情熱の国を,全てクリアする必要があります,
100002,挑戦するには,グルコサミン砂漠を,全てクリアする必要があります,
100003,挑戦するには,猫ども海を渡るを,全てクリアする必要があります,
100004,挑戦するには,見つめてキャッツアイを,全てクリアする必要があります,
100005,挑戦するには,ウエスタン街道を,全てクリアする必要があります,
100006,挑戦するには,マグロ海域を,全てクリアする必要があります,
100007,挑戦するには,バンブー島を,全てクリアする必要があります,
100008,挑戦するには,ぷにぷに鍾乳洞を,全てクリアする必要があります,
100009,挑戦するには,ボルケーノ火山を,全てクリアする必要があります,
100010,挑戦するには,千里の道を,全てクリアする必要があります,
100011,挑戦するには,アオ・ザ・カナを,全てクリアする必要があります,
100012,挑戦するには,軍艦島を,全てクリアする必要があります,
100013,挑戦するには,つめとぎの廊下を,全てクリアする必要があります,
100014,挑戦するには,パルテノン神殿を,全てクリアする必要があります,
100015,挑戦するには,ずんどこ海水浴場を,全てクリアする必要があります,
